iter	Passed	Remaining
819	31799	3102
820	31838	3063
821	31867	3023
822	31905	2985
823	31934	2945
824	31977	2907
825	32012	2867
826	32050	2829
827	32077	2789
828	32115	2750
829	32155	2711
830	32192	2672
831	32224	2633
832	32280	2596
833	32313	2557
834	32347	2518
835	32379	2478
836	32417	2440
837	32449	2400
838	32479	2361
839	32513	2322
840	32551	2283
841	32580	2244
842	32619	2205
843	32649	2166
844	32691	2127
845	32721	2088
846	32757	2049
847	32792	2010
848	32833	1972
849	32868	1933
850	32903	1894
851	32939	1855
852	32980	1817
853	33010	1778
854	33042	1739
855	33079	1700
856	33117	1661
857	33155	1622
858	33199	1584
859	33232	1545
860	33280	1507
861	33335	1469
862	33387	1431
863	33434	1393
864	33488	1355
865	33520	1316
866	33558	1277
867	33596	1238
868	33621	1199
869	33663	1160
870	33700	1122
871	33734	1083
872	33777	1044
873	33810	1005
874	33857	967
875	33886	928
876	33922	889
877	33956	850
878	33996	812
879	34038	773
880	34099	735
881	34143	696
882	34183	658
883	34217	619
884	34274	580
885	34309	542
886	34340	503
887	34376	464
888	34418	425
889	34456	387
890	34490	348
891	34524	309
892	34559	270
893	34601	232
894	34634	193
895	34668	154
896	34698	116
897	34733	77
898	34772	38
899	34809	0
